Name,Description,GoLive,Days
Amltoken,Fast. Borderless. Identity Based.  ,"Oct 06, 2017",116 days ago
Coinlancer,Blockchain based freelancing platform,"Oct 14, 2017",108 days ago
Naga Token Sale,Cryptocurrency for Trading and Gaming,"Dec 01, 2017",60 days ago
Worldcore,Award winning EU payment institution,"Oct 14, 2017",108 days ago
DreamTeam,Esports and Gaming recruitment and management network ,"Dec 11, 2017",50 days ago
Aigang,Blockchain protocol for digital insurance,"Nov 15, 2017",76 days ago
Etherecash,Lend I Send I Spend,"Nov 15, 2017",76 days ago
Sharpe.capital,Financial Market,"Nov 06, 2017",85 days ago
Bitindia,Crypto Exchange & Wallet for India,"Nov 11, 2017",80 days ago
STeX,Smart Token Exchange,"Nov 25, 2017",66 days ago
Universa,Faster Transactions. Smarter Contracts. Fully Customizable Blockchain,"Oct 28, 2017",94 days ago
Aphelion,Decentralized Exchange on NEO,"Nov 15, 2017",76 days ago
Leverj,Decentralised leveraged exchange,"Nov 07, 2017",84 days ago
LiveEdu,Online Learning Platform,"Nov 06, 2017",85 days ago
Cashaa,Next Generation Banking Platform,"Nov 06, 2017",85 days ago
Hut34,Powering the Global Knowledge Economy,"Nov 02, 2017",89 days ago
Crypto.tickets,Blockchain platform for ticket systems and event organisers,"Oct 05, 2017",116 days ago
Publica,Decentralized publishing platform removes intermediaries,"Nov 01, 2017",90 days ago
DMarket,Decentralized marketplace,"Nov 14, 2017",77 days ago
SimpleToken,The token to power your business,"Nov 14, 2017",77 days ago
Rockchain,Distributed data intelligence,"Nov 01, 2017",90 days ago
WaBi,Backed by safe products,"Nov 28, 2017",63 days ago
Playkey,Decentralized Cloud Gaming Platform,"Nov 01, 2017",90 days ago
Sense,Rewarding Human Capital,"Nov 07, 2017",84 days ago
Proof,Investments & Anonymous Participant Accountability,"Nov 01, 2017",90 days ago
LockChain,Decentralized Bookings and BnB Marketplace,"Oct 30, 2017",92 days ago
TripAlly,Global Connectivity Platform,"Oct 15, 2017",107 days ago
GenaroNetwork,Decentralised Storage Network,"Nov 17, 2017",74 days ago
CopPay,Multiсryptocurrency Payment System ,"Oct 30, 2017",92 days ago
Snovio,Lead generation platform,"Oct 31, 2017",91 days ago
Hacken,Dedicated cryptocurrency for white-hat hackers,"Oct 31, 2017",91 days ago
ETHLend,Democratizing Lending,"Nov 25, 2017",66 days ago
Paycent,Bridging the gap between fiat and cryptocurrency,"Nov 02, 2017",89 days ago
BitClave,"Blockchain based, decentralized search engine","Nov 29, 2017",62 days ago
Ventured,Connecting ideas and work on the Ethereum Blockchain,"Nov 22, 2017",69 days ago
Divi Project,Crypto Made Easy,"Nov 05, 2017",86 days ago
Starbase,Сrowdfunding / crowdsoursing,"Nov 09, 2017",82 days ago
Flixxo ,Wach! Share! Earn!,"Oct 24, 2017",98 days ago
Confideal,Smart Contract Management,"Nov 02, 2017",89 days ago
VuePay,Pay Hosting Platform,"Nov 02, 2017",89 days ago
Viuly,Video sharing platform,"Nov 10, 2017",80 days ago
Utrust,Online payments ,"Nov 02, 2017",89 days ago
Cash Poker Pro,Modern decentralized poker room,"Oct 26, 2017",95 days ago
MicroMoney,First Blockchain credit bureau,"Oct 18, 2017",104 days ago
Privatix,Blockchain VPN Network,"Oct 19, 2017",103 days ago
EloPlay,Esports platform ,"Oct 16, 2017",106 days ago
HydroMiner,H2O Token,"Oct 18, 2017",104 days ago
Genesis Vision,Private trust management market,"Oct 15, 2017",107 days ago
ErosCoin,Blockchain based Payment Gateway,"Oct 11, 2017",111 days ago
Matryx Token Sale,VR Collaborative Problem Solving,"Sep 13, 2017",139 days ago
Boulé,Remote Voting Technology  ,"Oct 25, 2017",97 days ago
Grid+,Ethereum blockchain,"Oct 30, 2017",92 days ago
Goldmint,Gold-backed cryptoassets,"Oct 18, 2017",104 days ago
Monaize,Banking meets Blockchain,"Nov 10, 2017",81 days ago
Ripio Credit Network,Global credit network,"Oct 24, 2017",98 days ago
OpenMoney,Bridging mainstream software to the Blockchain,"Oct 07, 2017",115 days ago
IMMLA (Pre-ICO),Decentralized online service of multimodal transportation,"Oct 16, 2017",106 days ago
Pylon,Network,"Oct 17, 2017",105 days ago
Papyrus,Advertising Ecosystem,"Oct 12, 2017",110 days ago
Enjin,Smart cryptocurrency for gaming,"Oct 03, 2017",119 days ago
ATLANT,Real Estate Blockchain Platform,"Sep 07, 2017",145 days ago
Seratio Platform,Platform for Cryptocurrencies with Values,"Oct 01, 2017",121 days ago
TokenStars,Tokenizing celebrities,"Sep 10, 2017",142 days ago
Aeron,Blockchain for Aviation Safety,"Sep 19, 2017",133 days ago
FOS (Pre-ICO),Infrastructure for crypto investment,"Sep 14, 2017",138 days ago
Etherparty,User-friendly smart contract complier,"Oct 01, 2017",121 days ago
CarTaxi,Car towing platform,"Sep 29, 2017",123 days ago
Snip,The Future of News on the Blockchain,"Sep 29, 2017",122 days ago
Swarm Fund,Co-operative Ownership Platform,"Oct 21, 2017",101 days ago
Soma,A Decentralized Social Marketplace,"Sep 26, 2017",126 days ago
BLOCKv,The foundation of the Virtual Goods Economy ,"Oct 19, 2017",103 days ago
Unikoin,Esports sportbook,"Sep 24, 2017",128 days ago
Ambrosus,Trusted Quality of Food & Medicine,"Sep 24, 2017",128 days ago
easyMine,Cryptocoin mining made simple,"Aug 24, 2017",159 days ago
Gimli,Decentralized esports betting system,"Sep 18, 2017",134 days ago
Notary,Engaging in contracts on the go,"Oct 10, 2017",112 days ago
Eidoo,"Wallet, Decentralized Exchange, App ","Oct 04, 2017",118 days ago
Change-bank,Crypto Bank,"Sep 16, 2017",136 days ago
Wolk,Data exchange,"Sep 18, 2017",134 days ago
EventChain,Ticketing system,"Sep 13, 2017",139 days ago
bitJob,Students marketplace for online short-term jobs,"Sep 12, 2017",140 days ago
Doc.ai,"Conversational platform for on-demand, quantified biology","Sep 28, 2017",124 days ago
Ties.Network,Business platform backed by smart-contracts ,"Sep 21, 2017",131 days ago
AirSwap,The engine of the new token economy,"Oct 10, 2017",112 days ago
LAToken,Asset tokenization and trading,"Aug 22, 2017",160 days ago
DomRaider ICO,Decentralized Blockchain Auctions in Real-Time,"Sep 12, 2017",140 days ago
Maecenas,The Decentralized Art Gallery,"Sep 07, 2017",145 days ago
AirToken,Tokenizing Mobile Access,"Oct 05, 2017",117 days ago
BeOne,Education platform,"Sep 07, 2017",145 days ago
Umbrella Coin,Democratized Insurance Platform,"Aug 20, 2017",163 days ago
Stable,Stabilizing the digital tokens’ universe,"Sep 03, 2017",149 days ago
JustDatingSite,A platform that connects people,"Aug 14, 2017",169 days ago
LakeBanker,Free Banking for the World,"Sep 27, 2017",125 days ago
REAL,Real Estate Crypto-Crowdfunding,"Aug 31, 2017",152 days ago
Avalon,Purchasing,"Aug 25, 2017",158 days ago
Alis,Rewards System,"Sep 01, 2017",151 days ago
IwToken,Integrative Wallet,"Aug 31, 2017",152 days ago
Internx,A New Internet,"Sep 07, 2017",144 days ago
SmartContract,A Fully Decentralized Oracle Network,"Sep 19, 2017",133 days ago
Kin,Cryptocurrency,"Sep 12, 2017",140 days ago
Cindicator,Hybrid Intelligence for Effective Asset Management,"Sep 12, 2017",140 days ago
Impak Coin,Cryptocurrency,"Aug 21, 2017",162 days ago
ICON,Hyperconnect the World,"Sep 20, 2017",132 days ago
Silent Notary,Data registry system,"Aug 20, 2017",162 days ago
Substratum,Foundation of the Decentralized Web,"Aug 14, 2017",169 days ago
Intelligenttrading,Trading,"Aug 18, 2017",165 days ago
KICKICO,Platform for crowdfunding,"Aug 29, 2017",154 days ago
ICOS,Blockchain Jumpstarter,"Aug 15, 2017",168 days ago
Propy,Global Property Store with Decentralized Title Registry,"Aug 15, 2017",168 days ago
Nexus,Marketplace and Ad Platform,"Aug 17, 2017",166 days ago
BitDice,Cryptocurrency casino,"Aug 15, 2017",168 days ago
Blackmoon,Cryptocurrency,"Sep 12, 2017",140 days ago
Wild Crypto,Merging Blockchain with eGaming,"Sep 05, 2017",147 days ago
Enigma,Decentralized exchange protocol,"Aug 21, 2017",162 days ago
Ahoolee,Search engine for products,"Aug 28, 2017",155 days ago
StuffGoGo,eCommerce platform,"Aug 12, 2017",171 days ago
Transmission,Multi currency transfer platform,"Aug 30, 2017",153 days ago
Filecoin,Decentralized storage network,"Aug 10, 2017",172 days ago
Hubii,Content marketplace,"Aug 24, 2017",159 days ago
Indorse,Decentralized Professional Network,"Aug 08, 2017",175 days ago
Aventus,Ticket sale platform,"Sep 06, 2017",146 days ago
COSS Token Swap,Cryptocurrency,"Aug 08, 2017",175 days ago
FundRequest,Store for software engineers ,"Sep 06, 2017",146 days ago
Viberate,Music database,"Sep 05, 2017",147 days ago
Chronologic,The first crypto pegged to time ,"Aug 28, 2017",155 days ago
Genevieve,Finance technology,"Aug 26, 2017",157 days ago
Monetha,E-commerce platform,"Aug 31, 2017",152 days ago
Everex,Microfinance and Remittance Services,"Jul 24, 2017",190 days ago
Bowhead Health,The first medical instrument powered by blockchain,"Jul 17, 2017",197 days ago
Ai-coin,Investment fund,"Jul 17, 2017",197 days ago
DIMCOIN,Cryptocurrency,"Jul 16, 2017",198 days ago
Cloud,The Blockchain decentralized cloud,"Aug 25, 2017",158 days ago
PAquarium,World largest aquarium,"Jul 22, 2017",192 days ago
Lampix,Image mining big data,"Aug 09, 2017",174 days ago
BlockCAT,Blockchain,"Jul 15, 2017",198 days ago
Decentraland,Virtual reality,"Aug 17, 2017",166 days ago
8 Circuit Studios,Video Games and Developer Platform,"Jul 17, 2017",197 days ago
Agrello,Contracts interface,"Jul 16, 2017",198 days ago
MyBit,Revenue streams platform,"Jul 17, 2017",197 days ago
Fluence (Pre-ICO),Data Storage,"Aug 06, 2017",177 days ago
Hive,Cryptocurrency,"Jul 03, 2017",211 days ago
Royal Kingdom Coin,Project promotion platform,"Jul 10, 2017",204 days ago
Suretly,Surety exchange platform,"Jul 11, 2017",203 days ago
Po.et,Intellectual property platform,"Aug 08, 2017",175 days ago
investFeed,Cryptocurrency social investment network,"Jul 23, 2017",191 days ago
Brickblock,Cryptocurrency trading platform,"Aug 02, 2017",181 days ago
CryptoABS,Financing platform,"Jul 14, 2017",200 days ago
Stox,Blockchain Prediction Market,"Aug 02, 2017",181 days ago
SunContract,Trading platform,"Jun 28, 2017",216 days ago
district0x,Markets network,"Jul 18, 2017",196 days ago
FundYourselfNow ,Cryptocurrency,"Jun 13, 2017",231 days ago
Cryptonomos,Mining infrastructure,"Jun 02, 2017",242 days ago
Monster Byte,Cryptocurrency gambling,"Jul 06, 2017",207 days ago
CORION,Digital currency,"Jun 18, 2017",226 days ago
True Flip,Lottery service,"Jun 28, 2017",216 days ago
DAO.Casino,First blockchain protocol for gambling industry,"Jun 29, 2017",215 days ago
DENT Coin,Token sale overview,"Jul 12, 2017",202 days ago
GeoFounders,Application developer,"Jun 25, 2017",219 days ago
Blocktix,Online tickets distributor,"Jul 07, 2017",207 days ago
SkinCoin,Cryptocurrency,"Jun 21, 2017",223 days ago
Gilgam.es,E-Sport platform,"Jun 20, 2017",224 days ago
Encrypgen,Genomic data platform,"Jun 15, 2017",229 days ago
CoinDash,Crypto-based trading platform,"Jul 17, 2017",197 days ago
Bitquence,Сryptocurrency,"Jun 28, 2017",216 days ago
InsureX,Insurance trading platform,"Jul 11, 2017",203 days ago
Tezos,Alternative to Ethereum,"Jul 01, 2017",213 days ago
ATB Coin,Investment platform,"Jun 12, 2017",232 days ago
Nimiq,Browser-based Blockchain,"Jun 28, 2017",216 days ago
LeviarCoin,Mobile games developer,"Apr 07, 2017",298 days ago
Mothership,Blockchain marketplace,"Jul 07, 2017",207 days ago
Santiment,Intelligence exchanger,"Jul 06, 2017",208 days ago
Polybius,Banking,"May 31, 2017",244 days ago
OpenANX,Decentralized exchanger,"Jun 22, 2017",222 days ago
AdEx,Ad exchange platform,"Jun 30, 2017",214 days ago
CVCoin,Social network ,"May 20, 2017",255 days ago
Sphre,Information technology,"Jun 01, 2017",243 days ago
DCORP,Democratizing venture capitalism,"Jun 01, 2017",243 days ago
RIALTO.AI,Arbitrage and market maker,"Jun 26, 2017",218 days ago
Primalbase,Distributed Workspace for Tech Community,"Jun 26, 2017",218 days ago
adToken,Protocol for the advertising industry,"Jun 26, 2017",218 days ago
21 Million,Mini series,"Jun 12, 2017",232 days ago
NVO,Cryptocurrencies exchange,"Mar 27, 2017",309 days ago
FunFair,Casino platform,"Jun 22, 2017",222 days ago
Octanox,New cryptocurrency,"May 26, 2017",249 days ago
CryptoPing,Trading analysis bot,"May 25, 2017",250 days ago
MaskNetwork,Trading network,"May 24, 2017",251 days ago
TenX,Bitcoin wallet,"Jun 24, 2017",220 days ago
Populous,Decentralized exchanger,"Jun 24, 2017",220 days ago
Civic,Secure identity platform,"Jun 21, 2017",223 days ago
Wagerr,Bet sportbook,"Jun 01, 2017",243 days ago
Status,Mobile browser and messenger,"Jun 20, 2017",224 days ago
Internet of Coins,Environment for personal finance,"Mar 21, 2017",315 days ago
Sonm,Decentralized supercomputer,"Jun 15, 2017",229 days ago
Minexcoin,Cryptocurrency,"May 15, 2017",260 days ago
Aeternity,Platform for smart contracts,"May 29, 2017",246 days ago
Bancor,New cryptocurrency,"Jun 12, 2017",232 days ago
